[2026-02-25 00:56:26 UTC] Weather Whale: NEW POSITION — Will the highest temperature in Seattle be 37°F or below on February 13? | Side=yes | Shares=312.904
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 20, 9:00AM-9:15AM ET | Side=down | Shares=110.675407
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 12, 10:15PM-10:30PM ET | Side=down | Shares=7.660783
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 10, 4:45AM-5:00AM ET | Side=down | Shares=100.6988
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 2, 1:45PM-2:00PM ET | Side=up | Shares=749.46
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 12, 1:50PM-1:55PM ET | Side=up | Shares=375.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 11, 1:15PM-1:30PM ET | Side=down | Shares=500.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 13, 6:10AM-6:15AM ET | Side=up | Shares=73.83
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 21, 9:45AM-10:00AM ET | Side=down | Shares=125.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 8, 5:15AM-5:30AM ET | Side=up | Shares=291.992829
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 4, 1:45PM-2:00PM ET | Side=up | Shares=1632.937786
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 19, 11:15PM-11:30PM ET | Side=up | Shares=8.48
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 3, 2:30PM-2:45PM ET | Side=down | Shares=345.296665
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 18, 2:45PM-3:00PM ET | Side=up | Shares=182.81818
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 6, 6:30AM-6:45AM ET | Side=up | Shares=64.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 9, 1:45PM-2:00PM ET | Side=down | Shares=249.990768
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 6, 5:45PM-6:00PM ET | Side=down | Shares=1659.631497
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 15, 4:30AM-4:35AM ET | Side=up | Shares=137.877763
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 13, 11:45PM-12:00AM ET | Side=up | Shares=100.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 27, 12:30AM-12:45AM ET | Side=down | Shares=117.017541
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 8, 9AM ET | Side=down | Shares=49.144899
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 20, 1:45PM-1:50PM ET | Side=up | Shares=104.788533
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 22, 5:40AM-5:45AM ET | Side=down | Shares=84.188678
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 21, 1:00PM-1:05PM ET | Side=up | Shares=101.200775
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 28, 9:00PM-9:15PM ET | Side=down | Shares=21.192981
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 17, 8:45AM-9:00AM ET | Side=down | Shares=169.09
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 20, 3:15AM-3:30AM ET | Side=down | Shares=1179.197343
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 9, 10:45PM-11:00PM ET | Side=down | Shares=100.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 10, 10:45PM-11:00PM ET | Side=down | Shares=46.869564
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 12, 10:00AM-10:15AM ET | Side=up | Shares=1388.96881
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 4, 10:30AM-10:45AM ET | Side=up | Shares=123.786733
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - February 6, 2:00PM-2:15PM ET | Side=up | Shares=125.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 23, 9:45AM-10:00AM ET | Side=down | Shares=518.33
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 23, 1:45PM-2:00PM ET | Side=up | Shares=799.975181
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - February 1, 6:45PM-7:00PM ET | Side=up | Shares=94.471689
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - February 17, 11:45PM-12:00AM ET | Side=down | Shares=100.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 17, 3:00AM-3:15AM ET | Side=down | Shares=59.333327
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 5, 3:45PM-4:00PM ET | Side=down | Shares=563.196137
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 21, 12:30AM-12:45AM ET | Side=down | Shares=65.8
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 27, 12:30PM-12:45PM ET | Side=up | Shares=249.749182
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 20, 8:55PM-9:00PM ET | Side=up | Shares=99.990783
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 12, 2:40PM-2:45PM ET | Side=down | Shares=277.6169
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 13, 7:15PM-7:30PM ET | Side=down | Shares=177.490783
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 21, 5:05PM-5:10PM ET | Side=up | Shares=235.819721
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 28, 2:30PM-2:45PM ET | Side=up | Shares=750.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 11, 9:45AM-10:00AM ET | Side=down | Shares=519.116749
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 15, 10:15PM-10:20PM ET | Side=up | Shares=210.295
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 27, 9:00PM-9:15PM ET | Side=up | Shares=787.98692
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 20, 5:00AM-5:05AM ET | Side=up | Shares=294.249795
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 29, 7:15PM-7:30PM ET | Side=up | Shares=141.272856
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 1, 6:45AM-7:00AM ET | Side=down | Shares=1099.430245
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 10, 8:00PM-8:15PM ET | Side=up | Shares=45.71428
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 7, 11:30PM-11:45PM ET | Side=up | Shares=50.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 10, 5:15AM-5:30AM ET | Side=down | Shares=246.0969
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 27, 9:00AM-9:15AM ET | Side=down | Shares=492.1875
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 19, 2:25PM-2:30PM ET | Side=up | Shares=266.572415
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 15, 9:10AM-9:15AM ET | Side=up | Shares=50.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 20, 9:15AM-9:20AM ET | Side=up | Shares=123.985879
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 4, 1:45AM-2:00AM ET | Side=up | Shares=250.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 10, 1:45AM-2:00AM ET | Side=up | Shares=41.53846
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 11, 5:00PM-5:15PM ET | Side=up | Shares=2404.104534
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 5, 7:45AM-8:00AM ET | Side=down | Shares=607.355012
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 18, 9:00PM-9:15PM ET | Side=down | Shares=16.36
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 4, 4:15AM-4:30AM ET | Side=up | Shares=255.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 1, 2:15PM-2:30PM ET | Side=down | Shares=99.995093
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 22, 4:15AM-4:30AM ET | Side=down | Shares=50.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 26, 4:45AM-5:00AM ET | Side=up | Shares=154.07818
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - February 24, 5:30PM-5:45PM ET | Side=up | Shares=100.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 12, 8:00AM-8:15AM ET | Side=down | Shares=250.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 21, 2:30PM-2:45PM ET | Side=down | Shares=130.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 9, 8AM ET | Side=up | Shares=1243.313264
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 27, 4:00PM-4:15PM ET | Side=down | Shares=1500.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 7, 9:30PM-9:45PM ET | Side=up | Shares=50.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 10, 12:00AM-12:15AM ET | Side=up | Shares=9.80392
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 12, 4AM ET | Side=down | Shares=49.71698
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 7, 5:30AM-5:45AM ET | Side=up | Shares=696.074795
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 20, 8:15PM-8:30PM ET | Side=down | Shares=249.993042
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - February 17, 11:15PM-11:30PM ET | Side=down | Shares=16.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 10, 12PM ET | Side=down | Shares=250.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - February 21, 10:15PM-10:30PM ET | Side=up | Shares=50.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 14, 12:25AM-12:30AM ET | Side=up | Shares=180.450946
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 24, 5:45AM-6:00AM ET | Side=down | Shares=559.047302
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 5, 11:00AM-11:15AM ET | Side=up | Shares=100.456035
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 12, 10:45AM-10:50AM ET | Side=down | Shares=152.735848
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 17, 3:55PM-4:00PM ET | Side=down | Shares=17.153961
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 20, 8:00PM-8:15PM ET | Side=down | Shares=5.5
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 4, 12:30PM-12:45PM ET | Side=down | Shares=300.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 11, 9:00AM-9:15AM ET | Side=down | Shares=585.218797
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 4, 10:30PM-10:45PM ET | Side=down | Shares=250.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 16, 7:50AM-7:55AM ET | Side=down | Shares=150.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 21, 11:50PM-11:55PM ET | Side=down | Shares=594.991914
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 11, 2PM ET | Side=down | Shares=499.7
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 29, 2:45AM-3:00AM ET | Side=up | Shares=101.641846
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - February 7, 9:30AM-9:45AM ET | Side=up | Shares=5.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 2, 10:45AM-11:00AM ET | Side=up | Shares=1121.329989
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 23, 8:15PM-8:20PM ET | Side=up | Shares=1174.553192
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 7, 8PM ET | Side=down | Shares=342.957646
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 22, 4:30PM-4:45PM ET | Side=up | Shares=109.856
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 15, 1:45PM-2:00PM ET | Side=up | Shares=114.03
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 20, 2:45AM-3:00AM ET | Side=up | Shares=721.486525
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 13, 3:45AM-4:00AM ET | Side=down | Shares=53.756665
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 20, 1:30PM-1:45PM ET | Side=up | Shares=125.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 3, 2:15PM-2:30PM ET | Side=down | Shares=27.216273
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 14, 6:20AM-6:25AM ET | Side=down | Shares=397.912638
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - February 16, 9:15AM-9:30AM ET | Side=up | Shares=5.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 2, 4:15PM-4:30PM ET | Side=up | Shares=749.718118
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 10, 7:30AM-7:45AM ET | Side=down | Shares=295.977573
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 15, 11:30AM-11:45AM ET | Side=up | Shares=315.407842
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 13, 12:45AM-1:00AM ET | Side=up | Shares=130.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 10, 11:45PM-12:00AM ET | Side=down | Shares=42.849606
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 24, 6:25AM-6:30AM ET | Side=down | Shares=99.988865
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 23, 4:30PM-4:45PM ET | Side=up | Shares=590.510159
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 26, 10:15PM-10:30PM ET | Side=down | Shares=500.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 24, 10:35AM-10:40AM ET | Side=up | Shares=325.402741
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 23, 12:20PM-12:25PM ET | Side=up | Shares=90.425303
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 4, 9:30AM-9:45AM ET | Side=up | Shares=4489.081302
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 21, 3:45AM-4:00AM ET | Side=down | Shares=33.905651
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 2, 6:30AM-6:45AM ET | Side=down | Shares=61.35
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 14, 4:05PM-4:10PM ET | Side=down | Shares=233.662036
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 19, 7PM ET | Side=down | Shares=613.404043
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 14, 7:15AM-7:20AM ET | Side=up | Shares=22.56
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - January 5, 3:00AM-3:15AM ET | Side=down | Shares=1100.0
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Ethereum Up or Down - February 12, 10:00AM-10:15AM ET | Side=up | Shares=12.75
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Solana Up or Down - January 22, 5:15PM-5:30PM ET | Side=up | Shares=10.91
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 9, 5:45AM-6:00AM ET | Side=down | Shares=499.29655
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - January 10, 2:00PM-2:15PM ET | Side=up | Shares=38.61
[2026-02-25 00:56:32 UTC] @PBot1: NEW POSITION — Bitcoin Up or Down - February 21, 6:00PM-6:15PM ET | Side=up | Shares=99.981059
